"MapManBin"	"GO.Term"	"GO.Name"	"GO.Ontolgy"	"GO.depth"	"Bin.Description"
"11.5.2.1"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"11.5.2.1"	"GO:0016301"	"kinase activity"	"MF"	5	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"11.5.2.1"	"GO:0016310"	"phosphorylation"	"BP"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"11.5.2.1"	"GO:0016740"	"transferase activity"	"MF"	3	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"11.5.2.1"	"GO:0023014"	"signal transduction by protein phosphorylation"	"BP"	28	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"11.5.2.1"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.ETR/ERS-type receptor protein"
"1.1.5.2.1"	"GO:0009055"	"electron transfer activity"	"MF"	4	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0009543"	"chloroplast thylakoid lumen"	"CC"	25	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0020037"	"heme binding"	"MF"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0022900"	"electron transport chain"	"BP"	7	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0046872"	"metal ion binding"	"MF"	5	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.1"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.apocytochrome c6"
"1.1.5.2.2.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0017004"	"cytochrome complex assembly"	"BP"	14	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.1"	"GO:0020037"	"heme binding"	"MF"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsA component"
"1.1.5.2.2.2"	"GO:0003674"	"molecular_function"	"MF"	1	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.2"	"GO:0017004"	"cytochrome complex assembly"	"BP"	14	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcsB component"
"1.1.5.2.2.3"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0017004"	"cytochrome complex assembly"	"BP"	14	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"1.1.5.2.2.3"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.other electron carriers.cytochrome c.CCS cytochrome c maturation system (system II).CcdA component"
"11.5.2.2"	"GO:0000166"	"nucleotide binding"	"MF"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0001666"	"response to hypoxia"	"BP"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0004672"	"protein kinase activity"	"MF"	8	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0004674"	"protein serine/threonine kinase activity"	"MF"	9	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	"MF"	9	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0004871"	"signal transducer activity"	"MF"	2	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0005515"	"protein binding"	"MF"	3	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0005524"	"ATP binding"	"MF"	17	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0005789"	"endoplasmic reticulum membrane"	"CC"	22	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0006468"	"protein phosphorylation"	"BP"	19	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0009686"	"gibberellin biosynthetic process"	"BP"	27	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0009723"	"response to ethylene"	"BP"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0009744"	"response to sucrose"	"BP"	8	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0009750"	"response to fructose"	"BP"	9	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0009873"	"ethylene-activated signaling pathway"	"BP"	24	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0010105"	"negative regulation of ethylene-activated signaling pathway"	"BP"	40	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0010182"	"sugar mediated signaling pathway"	"BP"	20	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0016301"	"kinase activity"	"MF"	5	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0016310"	"phosphorylation"	"BP"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0016740"	"transferase activity"	"MF"	3	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0046777"	"protein autophosphorylation"	"BP"	20	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0048510"	"regulation of timing of transition from vegetative to reproductive phase"	"BP"	12	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:0071281"	"cellular response to iron ion"	"BP"	12	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:2000035"	"regulation of stem cell division"	"BP"	9	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.2"	"GO:2000069"	"regulation of post-embryonic root development"	"BP"	20	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.protein kinase (CTR1)"
"11.5.2.3"	"GO:0009873"	"ethylene-activated signaling pathway"	"BP"	24	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN2-type signal transducer"
"11.5.2.3"	"GO:0016020"	"membrane"	"CC"	2	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN2-type signal transducer"
"11.5.2.3"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN2-type signal transducer"
"11.5.2.3"	"GO:0030001"	"metal ion transport"	"BP"	7	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN2-type signal transducer"
"11.5.2.3"	"GO:0046873"	"metal ion transmembrane transporter activity"	"MF"	9	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN2-type signal transducer"
"11.5.2.4"	"GO:0003677"	"DNA binding"	"MF"	6	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0003700"	"DNA binding transcription factor activity"	"MF"	3	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0005634"	"nucleus"	"CC"	10	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0006351"	"transcription, DNA-templated"	"BP"	30	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0006355"	"regulation of transcription, DNA-templated"	"BP"	48	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0009873"	"ethylene-activated signaling pathway"	"BP"	24	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"11.5.2.4"	"GO:0071281"	"cellular response to iron ion"	"BP"	12	"Phytohormone metabolism and perception.ethylene.perception and signal transduction.EIN3-type signal transducer"
"1.1.5.3"	"GO:0009055"	"electron transfer activity"	"MF"	4	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0022900"	"electron transport chain"	"BP"	7	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0046872"	"metal ion binding"	"MF"	5	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0051536"	"iron-sulfur cluster binding"	"MF"	4	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"MF"	5	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.3"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin"
"1.1.5.4"	"GO:0004324"	"ferredoxin-NADP+ reductase activity"	"MF"	6	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0009570"	"chloroplast stroma"	"CC"	19	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"1.1.5.4"	"GO:0098807"	"chloroplast thylakoid membrane protein complex"	"CC"	32	"Photosynthesis.light-dependent reactions.other electron carriers.ferredoxin oxidoreductase"
"11.6.1.1"	"GO:0008152"	"metabolic process"	"BP"	2	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-copalyl diphosphate synthase"
"11.6.1.1"	"GO:0010333"	"terpene synthase activity"	"MF"	6	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-copalyl diphosphate synthase"
"11.6.1.1"	"GO:0016829"	"lyase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-copalyl diphosphate synthase"
"11.6.1.1"	"GO:0016853"	"isomerase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-copalyl diphosphate synthase"
"1.1.6.1.1"	"GO:0005515"	"protein binding"	"MF"	3	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009055"	"electron transfer activity"	"MF"	4	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009414"	"response to water deprivation"	"BP"	10	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009534"	"chloroplast thylakoid"	"CC"	21	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009644"	"response to high light intensity"	"BP"	7	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0009773"	"photosynthetic electron transport in photosystem I"	"BP"	11	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0010117"	"photoprotection"	"BP"	6	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"1.1.6.1.1"	"GO:0071484"	"cellular response to light intensity"	"BP"	13	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGR5-like component"
"11.6.1.2"	"GO:0000287"	"magnesium ion binding"	"MF"	6	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene synthase"
"11.6.1.2"	"GO:0008152"	"metabolic process"	"BP"	2	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene synthase"
"11.6.1.2"	"GO:0010333"	"terpene synthase activity"	"MF"	6	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene synthase"
"11.6.1.2"	"GO:0016829"	"lyase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene synthase"
"11.6.1.2"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene synthase"
"1.1.6.1.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0009773"	"photosynthetic electron transport in photosystem I"	"BP"	11	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"1.1.6.1.2"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Photosynthesis.light-dependent reactions.cyclic electron transport and chlororespiration.PGR5/PGRL1 complex.PGRL1-like component"
"11.6.1.3"	"GO:0004497"	"monooxygenase activity"	"MF"	4	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0005506"	"iron ion binding"	"MF"	7	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0005783"	"endoplasmic reticulum"	"CC"	13	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0005789"	"endoplasmic reticulum membrane"	"CC"	22	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0007275"	"multicellular organism development"	"BP"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0009686"	"gibberellin biosynthetic process"	"BP"	27	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0010268"	"brassinosteroid homeostasis"	"BP"	7	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016020"	"membrane"	"CC"	2	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016125"	"sterol metabolic process"	"BP"	9	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016132"	"brassinosteroid biosynthetic process"	"BP"	23	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"	4	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0020037"	"heme binding"	"MF"	6	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0051777"	"ent-kaurenoate oxidase activity"	"MF"	7	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.3"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurene oxidase"
"11.6.1.4"	"GO:0005506"	"iron ion binding"	"MF"	7	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0005783"	"endoplasmic reticulum"	"CC"	13	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0009686"	"gibberellin biosynthetic process"	"BP"	27	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0009707"	"chloroplast outer membrane"	"CC"	31	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0009740"	"gibberellic acid mediated signaling pathway"	"BP"	29	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0010241"	"ent-kaurene oxidation to kaurenoic acid"	"BP"	13	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0016020"	"membrane"	"CC"	2	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"	4	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0020037"	"heme binding"	"MF"	6	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.4"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.ent-kaurenoic acid oxidase"
"11.6.1.5"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 20-oxidase"
"11.6.1.5"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 20-oxidase"
"11.6.1.5"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 20-oxidase"
"11.6.1.6"	"GO:0009686"	"gibberellin biosynthetic process"	"BP"	27	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0009740"	"gibberellic acid mediated signaling pathway"	"BP"	29	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0016707"	"gibberellin 3-beta-dioxygenase activity"	"MF"	7	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0051213"	"dioxygenase activity"	"MF"	4	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
"11.6.1.6"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.gibberellin.synthesis.gibberellin 3-oxidase"
